City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Albany,1,US,1573966941,78,42.65,-73.75,21.0,1.61
Faya,62,SA,1573967103,71,18.39,42.45,53.6,5.97
Hukuntsi,0,BW,1573967103,11,-23.98,21.76,80.64,10.04
Haines Junction,100,CA,1573967103,97,60.75,-137.51,23.31,2.8
Salvador,40,BR,1573967103,78,-12.98,-38.48,80.6,11.41
Mataura,34,NZ,1573967104,63,-46.19,168.86,57.0,5.01
Rikitea,62,PF,1573967104,84,-23.12,-134.97,75.18,10.85
Saint-Georges,14,CA,1573967015,77,46.12,-70.67,7.0,4.0
San Patricio,1,PY,1573967104,78,-26.98,-56.83,59.68,5.28
Nikel,90,NO,1573967104,84,69.41,30.21,8.6,8.05
Ancud,90,CL,1573967104,93,-41.87,-73.83,53.6,14.99
Manzanillo,100,MX,1573967104,75,19.05,-104.32,80.56,8.19
Kodiak,1,US,1573967105,56,39.95,-94.76,44.01,6.93
Ilulissat,0,GL,1573967105,44,69.22,-51.1,17.6,16.11
Nemuro,20,JP,1573967105,31,43.32,145.57,35.6,23.04
Niksar,0,TR,1573967105,61,40.59,36.95,49.17,4.65
Namibe,28,AO,1573967105,76,-15.19,12.15,70.45,9.51
Qaanaaq,100,GL,1573967105,93,77.48,-69.36,6.03,1.57
Mazamari,24,PE,1573967105,50,-11.33,-74.53,58.23,3.56
Mehamn,7,NO,1573967105,91,71.03,27.85,18.52,14.85
Yuli,85,CN,1573967106,72,24.82,106.77,75.0,7.78
Gao,11,ML,1573967106,9,16.28,-0.04,74.97,8.1
Alekseyevskaya,0,RU,1573967106,65,45.77,40.15,44.98,16.78
Ushuaia,90,AR,1573966861,70,-54.81,-68.31,44.6,6.93
Brae,100,GB,1573967106,86,60.4,-1.35,44.6,8.05
Sorland,37,NO,1573967106,70,67.67,12.69,38.14,13.94
Lompoc,1,US,1573967063,62,34.64,-120.46,68.0,6.8
Atuona,1,PF,1573967107,74,-9.8,-139.03,79.65,13.15
Port Lincoln,61,AU,1573966822,53,-34.72,135.86,63.18,9.35
Saint-Francois,63,FR,1573967107,96,46.42,3.91,33.8,0.54
Cananea,1,MX,1573967107,60,30.98,-110.3,59.0,8.05
